regime,style,option_type,label_noise,model,family,n_train,seed,fit_seconds,mae_usd,rmse_usd,max_usd,mae_inside_usd,mae_outside_usd,delta_mae,gamma_mae,pde_rms,boundary_mae_usd,boundary_missing,iv_mae_pts,iv_failed,viol_convex,viol_delta,viol_bound,viol_calendar
extrapolate,american,put,0.0,pinn_n2,pinn,0,0,145.49334769999996,2.3129473548349586,2.631338547481022,5.463287830352781,0.7795618701401894,2.548852814018769,,,,21.25,0.7777777777777778,7.970303217480394,0.0,0.2888888888888888,0.1688888888888889,0.0044444444444444,0.0
extrapolate,american,put,0.0,poly_ridge,ml,50,0,0.0029027000000496,179.6287214207019,378.625210004572,1406.5641943708847,0.0771008389531422,207.2520476640479,,,,8.375000000000002,0.1111111111111111,19.8672887266278,0.0952380952380952,0.7688888888888888,0.5511111111111111,0.5777777777777777,0.2444444444444444
extrapolate,american,put,0.0,kernel_ridge,ml,50,0,0.0963442000002032,9.90963883684987,16.759550831618817,71.58118685667884,0.0059619473653309,11.433281435232104,,,,6.388888888888886,0.0,0.3535567133099703,0.3333333333333333,0.4622222222222222,0.4355555555555555,0.4266666666666667,0.68
extrapolate,american,put,0.0,random_forest,ml,50,0,0.4221357999999782,3.811773579583104,7.707264385557068,25.69678114644477,0.3906892865654221,4.338094240047362,,,,5.611111111111108,0.0,3.0610748520572257,0.0,0.1244444444444444,0.0,0.24,0.0933333333333333
extrapolate,american,put,0.0,grad_boosting,ml,50,0,0.4597158999999919,3.834380343337545,7.770714826423683,26.14995582034956,0.5205452733446588,4.3442011233364495,,,,4.611111111111107,0.0,3.345522169575141,0.1428571428571428,0.1244444444444444,0.0,0.28,0.0533333333333333
extrapolate,american,put,0.0,mlp_tanh,dl,50,0,3.667681999999786,3.3212778574512782,4.487425624495634,12.820538282394413,0.1965506456429896,3.8020051208064,,,,2.8888888888888915,0.0,1.9427470336264687,0.0,0.5066666666666667,0.5111111111111111,0.2,0.0266666666666666
extrapolate,american,put,0.0,mlp_relu,dl,50,0,3.597941500000161,1.3211267305392655,2.7936227238177125,14.86061453819275,0.0880305674096331,1.5108338325592094,,,,3.277777777777773,0.0,1.0131383894279038,0.0,0.2888888888888888,0.0,0.5777777777777777,0.2355555555555555
extrapolate,american,put,0.0,resnet_silu,dl,50,0,5.538936899999953,5.016085100214028,8.073276641369313,28.405016660690308,0.0749137134419616,5.776265313563575,,,,2.3124999999999964,0.1111111111111111,1.136026965785666,0.0,0.0533333333333333,0.6711111111111111,0.08,0.7066666666666667
extrapolate,american,put,0.0,fourier_mlp,dl,50,0,3.3719985999996425,7.685476574557503,12.035148218728708,38.0465441942215,1.0963875091430153,8.699182584621271,,,,6.999999999999999,0.0,6.92007685748061,0.0952380952380952,0.4622222222222222,0.5022222222222222,0.28,0.4488888888888889
extrapolate,american,put,0.0,picnn,dl,50,0,11.291489499999898,5.028825934117874,8.742300239629794,39.738813638687134,0.2754623103401718,5.76011264546829,,,,1.999999999999998,0.3333333333333333,1.7169272414076606,0.1428571428571428,0.0,0.2222222222222222,0.4711111111111111,0.1733333333333333
extrapolate,american,put,0.0,bs_iv_net,dl,50,0,4.691051000000243,0.2050176607745527,0.5526747596961871,2.7873134613037087,0.0271933708737496,0.2323752438362147,,,,1.1111111111111107,0.0,0.2140099920760642,0.0,0.0977777777777777,0.1288888888888889,0.0577777777777777,0.1066666666666666
extrapolate,american,put,0.0,poly_ridge,ml,200,0,0.001481799999965,148.50054077111267,319.8123528142433,1266.5924369497873,0.0533644833252597,171.33856789231075,,,,1.3333333333333308,0.0,8.699970779635278,0.0952380952380952,0.8,0.5555555555555556,0.6577777777777778,0.2755555555555555
extrapolate,american,put,0.0,kernel_ridge,ml,200,0,0.1780877000001055,5.3715739272143495,9.390431940087094,36.10708644396908,0.0076351930660527,6.196795270929472,,,,4.33333333333333,0.0,1.4773107668912115,0.1904761904761904,0.4,0.3911111111111111,0.4755555555555555,0.68
extrapolate,american,put,0.0,random_forest,ml,200,0,0.4630580000002737,3.5743153988272365,7.5357372018570015,25.22366522403189,0.2437955920368272,4.086703061410376,,,,3.7222222222222174,0.0,2.57618393169714,0.0,0.04,0.0,0.24,0.0844444444444444
extrapolate,american,put,0.0,grad_boosting,ml,200,0,0.3632431999999426,3.830106020256778,7.9335407594009295,26.566359321943533,0.3932597108910566,4.358851606313044,,,,4.166666666666663,0.0,2.1620616780706707,0.0,0.0666666666666666,0.0044444444444444,0.24,0.1733333333333333
extrapolate,american,put,0.0,mlp_tanh,dl,200,0,3.989774699999998,2.5981427771326304,3.495748899075294,9.757443666458132,0.1728678228592029,2.971262000867004,,,,5.944444444444449,0.0,1.920340107654696,0.0,0.4355555555555555,0.4933333333333333,0.1688888888888889,0.04
extrapolate,american,put,0.0,mlp_relu,dl,200,0,3.9353250999997726,1.5410577135040202,3.082586412547452,14.279272556304932,0.0543075790298473,1.7697885034231242,,,,2.05555555555555,0.0,0.6878030256704417,0.0,0.2977777777777777,0.0,0.5466666666666666,0.2444444444444444
extrapolate,american,put,0.0,resnet_silu,dl,200,0,6.729014500000176,3.945059480802201,6.75477657897359,24.732640385627747,0.0789322152290419,4.5398482908903794,,,,0.750000000000002,0.1111111111111111,1.112780933435714,0.0,0.0577777777777777,0.6444444444444445,0.0844444444444444,0.7022222222222222
