regime,style,option_type,label_noise,model,family,n_train,seed,fit_seconds,mae_usd,rmse_usd,max_usd,mae_inside_usd,mae_outside_usd,delta_mae,gamma_mae,pde_rms,boundary_mae_usd,boundary_missing,iv_mae_pts,iv_failed,viol_convex,viol_delta,viol_bound,viol_calendar
extrapolate,european,call,0.0,pinn_n1,pinn,0,0,113.52982490000068,0.776418200630313,0.9215867062713115,1.5517412068297265,0.19066822731663266,0.8665335811401099,0.03329876806312444,0.310664319831323,0.008709802003579722,,,,,0.39555555555555555,0.18222222222222223,0.017777777777777778,
extrapolate,european,call,0.0,pinn_n0,pinn,0,0,113.96021939999991,6.687176902423259,8.208477741475367,18.384819924670325,4.050502536945467,7.092819112496765,0.17562338008276515,1.0016434046334393,0.21715694385211629,,,,,0.4888888888888889,0.48,0.3511111111111111,
extrapolate,european,call,0.0,poly_ridge,ml,50,0,0.0013189999990572687,179.75889908866333,379.2738659638557,1422.3582220419644,0.07534115092101679,207.40252338677752,12.472514812043666,72.37041937507287,10.719280055240818,,,,,0.7777777777777778,0.5377777777777778,0.5733333333333334,
extrapolate,european,call,0.0,kernel_ridge,ml,50,0,0.0973866000003909,20.141860486967975,32.07024259486172,83.7623713635597,0.0058033174896907356,23.23971543611848,0.7901331600340687,3.612264038175399,0.7235082767319049,,,,,0.37333333333333335,0.5333333333333333,0.5333333333333333,
extrapolate,european,call,0.0,random_forest,ml,50,0,0.31283110000003944,19.642000135791164,29.71158214741253,67.84260523325312,0.44739260756198146,22.59501667859566,0.581313788341521,2.40265093932442,0.1315230331163341,,,,,0.18666666666666668,0.008888888888888889,0.5733333333333334,
extrapolate,european,call,0.0,grad_boosting,ml,50,0,0.3122644000013679,19.680636235807427,29.75570748905536,67.73427050469698,0.4118031585969786,22.645072093839804,0.5770849114699427,2.294702980661441,0.15173363624127534,,,,,0.18666666666666668,0.0044444444444444444,0.56,
extrapolate,european,call,0.0,mlp_tanh,dl,50,0,3.5262974000015674,8.659571515076141,15.378202953221631,44.30679694395603,0.21354657998126245,9.958959966629202,0.4174384991090303,1.2442745974679281,0.09215160468299914,,,,,0.52,0.3511111111111111,0.4533333333333333,
extrapolate,european,call,0.0,mlp_relu,dl,50,0,3.6264088000007177,8.894616803714248,13.690980300229954,34.57648769598545,0.06646317888619707,10.252794284457023,0.29313299150553224,0.8870233115105753,0.06624073066898341,,,,,0.3688888888888889,0.0,0.6844444444444444,
extrapolate,european,call,0.0,resnet_silu,dl,50,0,5.337437099999079,5.158181013165933,8.696289857718284,29.900246703810083,0.07713553558850463,5.9398803174086146,0.2540621611467914,0.9562011890555212,0.13265201179317335,,,,,0.0,0.6444444444444445,0.017777777777777778,
extrapolate,european,call,0.0,fourier_mlp,dl,50,0,3.314266100000168,25.510940282819405,35.65344923042412,80.47914658105574,0.9869312055083808,29.28386475625187,0.7259428359286477,8.476917473394487,0.517056608694441,,,,,0.4711111111111111,0.4488888888888889,0.5955555555555555,
extrapolate,european,call,0.0,picnn,dl,50,0,10.584184400000595,10.706109765372892,14.166959805219578,31.10884443502964,1.1598537419689783,12.174764538204263,0.4076373656922303,0.7991579156931571,0.12496648687451355,,,,,0.0,0.0,0.7377777777777778,
extrapolate,european,call,0.0,bs_iv_net,dl,50,0,4.1479876000012155,0.0020669682624514505,0.004464489185012772,0.0195179651067523,0.00045501487447435876,0.002314961091371003,0.0007611211927687606,0.004745917252362577,0.0003494156691526935,,,,,0.0,0.0,0.0,
extrapolate,european,call,0.0,poly_ridge,ml,200,0,0.001367600001685787,151.39080691787618,325.74867567172595,1289.011201774192,0.049729222066384256,174.67404964030843,10.716145113577813,61.52219482152532,8.559072900784235,,,,,0.8177777777777778,0.5733333333333334,0.6533333333333333,
extrapolate,european,call,0.0,kernel_ridge,ml,200,0,0.14308319999872765,17.794489219502577,29.999017688570472,82.69512580682114,0.007233986483295828,20.530990024582465,0.7454457267650342,2.978307613839759,0.46130208709658266,,,,,0.3688888888888889,0.4577777777777778,0.5688888888888889,
extrapolate,european,call,0.0,random_forest,ml,200,0,0.30805549999968207,18.778722099077765,28.765354644521302,65.90864293728204,0.29135199609947243,21.622932884151346,0.5564708439136826,2.2819599737271488,0.14972154816255456,,,,,0.09777777777777778,0.0,0.5466666666666666,
extrapolate,european,call,0.0,grad_boosting,ml,200,0,0.3137260999992577,18.986161731081225,29.014151773221403,66.21137984363642,0.237097325961873,21.87063317802266,0.5642987275414661,2.0558200807915217,0.14410249441037112,,,,,0.08,0.013333333333333334,0.5511111111111111,
extrapolate,european,call,0.0,mlp_tanh,dl,200,0,4.101286299999629,10.364341088245956,17.709083213231832,49.90879014711918,0.2084006826398391,11.926793458339203,0.4723500755742305,1.3259088705276374,0.09752253025405667,,,,,0.5288888888888889,0.41333333333333333,0.47555555555555556,
extrapolate,european,call,0.0,mlp_relu,dl,200,0,3.8174689000006765,11.011466812889836,17.26468261503275,42.985737478547705,0.05225524511389428,12.69749936177844,0.36146811662447476,0.9755027661617524,0.07134867039575997,,,,,0.3377777777777778,0.0,0.6711111111111111,
extrapolate,european,call,0.0,resnet_silu,dl,200,0,6.40580829999999,3.792864350652942,6.402334060092856,22.90053948182522,0.07341355318716078,4.365087550263062,0.19796175952668976,0.7770085601358998,0.12431213626056954,,,,,0.0,0.6266666666666667,0.09333333333333334,
extrapolate,european,call,0.0,fourier_mlp,dl,200,0,3.991311699999642,25.103525258591752,35.52746667337892,81.67828251040183,0.3099225472342461,28.917925675723676,0.7148827712868109,7.062435203069022,0.4286855614184264,,,,,0.4533333333333333,0.44,0.5822222222222222,
extrapolate,european,call,0.0,picnn,dl,200,0,11.729750800001057,11.87041957579506,15.917593206786762,37.757204513909436,1.0729599176886377,13.531567215503737,0.41732442260950875,0.7993162147969087,0.06587298413440833,,,,,0.0,0.0,0.7733333333333333,
extrapolate,european,call,0.0,bs_iv_net,dl,200,0,4.788786500001152,0.001972764476454557,0.00421934878294404,0.018272228030946636,0.00041391714309102604,0.0022125871431258695,0.0007626518157833005,0.004753110781902238,0.0003386058780700931,,,,,0.0,0.0,0.0,
extrapolate,european,call,0.0,poly_ridge,ml,1000,0,0.0016040000009525102,143.56972735716877,335.0937144338854,1752.6691853992397,0.03809095908394157,165.65151757225877,10.153997360981593,59.79492091612294,12.208992382604388,,,,,0.6888888888888889,0.5288888888888889,0.6666666666666666,
extrapolate,european,call,0.0,kernel_ridge,ml,1000,0,1.480608799998663,34.636064571515405,75.89684632379281,328.23270598440087,0.003741231759509956,39.96411431609323,1.6405885667400595,14.00841588024948,3.3841193361607527,,,,,0.5111111111111111,0.5333333333333333,0.6444444444444445,
extrapolate,european,call,0.0,random_forest,ml,1000,0,0.32126679999964836,18.625445739948297,28.6710737622787,65.71103976963504,0.1083444632007388,21.474230551755614,0.5486725596166968,1.7470669788366031,0.14630726628196108,,,,,0.07111111111111111,0.0,0.5422222222222223,
extrapolate,european,call,0.0,grad_boosting,ml,1000,0,1.0346130000016274,18.613591582276236,28.654711834969294,65.58933611735725,0.10115130612480543,21.461659317068765,0.5510073744700147,1.6747364910075613,0.1479439588899122,,,,,0.06666666666666667,0.0,0.5377777777777778,
extrapolate,european,call,0.0,mlp_tanh,dl,1000,0,5.316024100000504,7.921611557524809,14.18978253927171,42.854368841462744,0.2043975122193612,9.10887525680257,0.4304577998071928,1.4508726653283934,0.10653964700470982,,,,,0.52,0.40444444444444444,0.40444444444444444,
extrapolate,european,call,0.0,mlp_relu,dl,1000,0,5.15187270000024,9.874494856003158,15.514135936320212,39.878928816133154,0.06055430871607164,11.384331863278097,0.33206115591231966,0.926107007000641,0.07797482207093503,,,,,0.3288888888888889,0.0,0.6755555555555556,
extrapolate,european,call,0.0,resnet_silu,dl,1000,0,9.691114699999162,3.7534149303878883,6.339412009818461,22.0897851826614,0.0685161712968388,4.3203224317865105,0.19383828238289785,0.7501122953179202,0.11299674412437322,,,,,0.0,0.6133333333333333,0.09333333333333334,
extrapolate,european,call,0.0,fourier_mlp,dl,1000,0,6.277184900000066,24.97302738131117,35.584955286852264,81.0179803929349,0.04522062091840632,28.808074575217752,0.7186406761402897,8.892612729510473,0.4964164813606631,,,,,0.41333333333333333,0.4622222222222222,0.5733333333333334,
extrapolate,european,call,0.0,picnn,dl,1000,0,15.675973400000657,11.115307206000576,14.632352123888287,33.34693626146854,1.0886432491283144,12.657870891673232,0.4015205101726352,0.7993086275432099,0.061406189103966446,,,,,0.0,0.0,0.7866666666666666,
extrapolate,european,call,0.0,bs_iv_net,dl,1000,0,5.748050600001079,0.0019345647420138487,0.004135827498640145,0.01792652109124937,0.0004185000472618136,0.0021678054642833926,0.0007609391371037948,0.004717043769918216,0.0003365686121698464,,,,,0.0,0.0,0.0,
extrapolate,european,call,0.0,poly_ridge,ml,3000,0,0.0023653000007470837,119.88939691150533,315.86628722093576,1992.695586487978,0.024323979770605714,138.33017736254146,8.563974728556627,50.554445957773325,15.288365504212123,,,,,0.48444444444444446,0.5644444444444444,0.4311111111111111,
extrapolate,european,call,0.0,kernel_ridge,ml,3000,0,13.316090499998609,55.83571479044503,128.96736831052593,637.6018448084776,0.002293444062524934,64.42547192065774,3.0863427779670323,25.71613036759845,5.5299532629709445,,,,,0.37777777777777777,0.6133333333333333,0.3288888888888889,
extrapolate,european,call,0.0,random_forest,ml,3000,0,0.338350599999103,18.473349634728745,28.524313711547894,65.42449896005441,0.06458786471646431,21.30546683011525,0.5457565681339386,1.7501642059463576,0.15755650208737754,,,,,0.04,0.0,0.5333333333333333,
extrapolate,european,call,0.0,grad_boosting,ml,3000,0,1.0722052000000986,18.49127532968227,28.555664302581434,65.45368716873148,0.0617539446266085,21.326586311998526,0.5479343848754058,1.6455464933945874,0.14779690828751743,,,,,0.05333333333333334,0.0,0.5333333333333333,
extrapolate,european,call,0.0,mlp_tanh,dl,3000,0,8.40120190000016,9.53320221006279,16.602699199030006,47.83288255911411,0.1931459168908614,10.970133947473856,0.4560701423203964,1.3630464768764825,0.1030031225387652,,,,,0.52,0.39111111111111113,0.4577777777777778,
extrapolate,european,call,0.0,mlp_relu,dl,3000,0,7.866030600000158,6.414691250632791,10.32185561853762,28.387969887071264,0.04959233313923956,7.393937237939492,0.23326952754539412,0.9793257794917912,0.07519493545393512,,,,,0.38222222222222224,0.0,0.6355555555555555,
extrapolate,european,call,0.0,resnet_silu,dl,3000,0,15.273582000001625,2.3649693315159364,3.938191128107929,15.193277442640651,0.0630291167104283,2.719113979947553,0.12904834450441702,0.5432491006179018,0.10525241207359533,,,,,0.0,0.5644444444444444,0.18222222222222223,
extrapolate,european,call,0.0,fourier_mlp,dl,3000,0,9.494440899999972,24.92823204688938,35.62712703267587,81.01528849816523,0.019920437289707826,28.760279986827786,0.7112120731484616,8.74203725260427,0.5031285875511738,,,,,0.4088888888888889,0.4444444444444444,0.5777777777777777,
extrapolate,european,call,0.0,picnn,dl,3000,0,23.56993280000097,10.908715565829025,14.405084227047857,34.21286956053318,1.0783272745748882,12.421082995252739,0.4005990146378796,0.7993076740189076,0.07907528557859136,,,,,0.0,0.0,0.7777777777777778,
extrapolate,european,call,0.0,bs_iv_net,dl,3000,0,8.677287599999545,0.001937414978970129,0.004143265072491148,0.017962283878114604,0.0004173669381293647,0.002171268523714862,0.0007610644266227098,0.0047390846271109545,0.00033699881353372387,,,,,0.0,0.0,0.0,
extrapolate,european,call,0.0,poly_ridge,ml,50,1,0.0012783000001945766,142.00446945275885,300.1584030749878,1113.4253809735328,0.06015337224636886,163.84205654206846,9.749801973385733,57.02689663498264,7.416093010799157,,,,,0.7733333333333333,0.52,0.7733333333333333,
extrapolate,european,call,0.0,kernel_ridge,ml,50,1,0.09740099999908125,18.403661284315113,30.769467993188925,81.8141706008366,0.013834747316880096,21.232865366930227,0.6860785960224253,2.1912303510223077,0.3100108558080232,,,,,0.4888888888888889,0.4711111111111111,0.6622222222222223,
extrapolate,european,call,0.0,random_forest,ml,50,1,0.3190967999998975,19.287510137781545,29.23760005064413,66.9872761241589,0.559287094195322,22.168775221410197,0.568895158967424,3.0015828544754126,0.18210464404626525,,,,,0.10222222222222223,0.008888888888888889,0.5644444444444444,
extrapolate,european,call,0.0,grad_boosting,ml,50,1,0.3180212000006577,19.38030127484441,29.36678209782986,66.97920839699239,0.40883561807797664,22.298988298962318,0.5742948652471671,2.6752453467056463,0.1621207365732105,,,,,0.08,0.017777777777777778,0.5866666666666667,
extrapolate,european,call,0.0,mlp_tanh,dl,50,1,3.521104800000103,10.147748890973759,17.77704875787877,47.59880159414015,0.20955255525186003,11.676702173392513,0.4157154395469945,1.0579986502847347,0.07462907523885705,,,,,0.5466666666666666,0.2088888888888889,0.5733333333333334,
extrapolate,european,call,0.0,mlp_relu,dl,50,1,3.7240525999986858,7.75337413518655,12.115701135974067,30.554515278154028,0.05955878896835065,8.937038034604736,0.2670730096859458,0.7115858563212751,0.0642968438673385,,,,,0.38666666666666666,0.008888888888888889,0.5377777777777778,
extrapolate,european,call,0.0,resnet_silu,dl,50,1,5.291931300000215,1.5727797502801244,2.6063589171289427,12.121355378813137,0.07815202173473232,1.8027224777486461,0.09190587656106257,0.4317882750653431,0.09628953015985281,,,,,0.013333333333333334,0.5066666666666667,0.18666666666666668,
extrapolate,european,call,0.0,fourier_mlp,dl,50,1,3.349390299999868,26.482495230575736,37.05575003908901,84.32346404540884,0.7160437722971412,30.446564685695517,0.763904675667696,9.262323324273405,0.5347088120977858,,,,,0.49333333333333335,0.47555555555555556,0.6,
extrapolate,european,call,0.0,picnn,dl,50,1,10.676409699999567,8.583943539273752,11.04825863980353,30.482393657975805,1.0317693911533083,9.745816485138437,0.3070748464257201,0.725449014444485,0.10593520469506615,,,,,0.0,0.0,0.7911111111111111,
extrapolate,european,call,0.0,bs_iv_net,dl,50,1,4.2430431000011595,0.001917901451986242,0.004586274413410093,0.02249636551312495,0.0004461300612958012,0.0021443278197847714,0.00072349486682376,0.004380128719961384,0.00035795621567139506,,,,,0.0,0.0,0.0,
extrapolate,european,call,0.0,poly_ridge,ml,200,1,0.0013331999998626998,151.3343755623576,321.0435122890803,1256.7900182549583,0.04619247482410773,174.60948065274735,10.292613903601353,58.99193792096308,7.8702724481808195,,,,,0.7866666666666666,0.49777777777777776,0.76,
extrapolate,european,call,0.0,kernel_ridge,ml,200,1,0.14365650000036112,17.366290584076697,29.888996168097147,82.81463526971086,0.0055610403856902295,20.037172052336853,0.7762976802393632,3.1055677572340494,0.4198738765510959,,,,,0.38222222222222224,0.48444444444444446,0.52,
extrapolate,european,call,0.0,random_forest,ml,200,1,0.3096913000008499,18.844098754500212,28.857866993661162,66.13477463518527,0.23738521905995696,21.706670067644865,0.5556207718100886,2.5428665239337462,0.18548268481554722,,,,,0.08444444444444445,0.0,0.5466666666666666,
extrapolate,european,call,0.0,grad_boosting,ml,200,1,0.31881720000092173,19.332628006809053,29.395513288117066,66.88195663418692,0.24144806390203463,22.269732613410135,0.5806880836327336,1.2932707501079717,0.06982401358237793,,,,,0.08,0.0044444444444444444,0.56,
extrapolate,european,call,0.0,mlp_tanh,dl,200,1,3.993430599999556,14.74649210841732,23.936942008641566,59.23956827271329,0.2176327748688092,16.981701236655553,0.5385221325025581,1.1559274717465393,0.0802702577959099,,,,,0.4,0.5111111111111111,0.52,
extrapolate,european,call,0.0,mlp_relu,dl,200,1,3.9418968000009045,7.842225179742633,12.438447157667131,31.123122727685583,0.03244178292769574,9.043730317714163,0.27566045129970207,0.7442345464314816,0.06575341585702377,,,,,0.43555555555555553,0.0,0.5644444444444444,
extrapolate,european,call,0.0,resnet_silu,dl,200,1,6.338291300000492,1.6591350164005776,2.7976381129312595,12.27241143006741,0.07774359703286948,1.9024260039956098,0.0973738464589709,0.4285154861873018,0.08616528067393453,,,,,0.022222222222222223,0.5422222222222223,0.13777777777777778,
