regime,style,option_type,label_noise,model,family,n_train,seed,fit_seconds,mae_usd,rmse_usd,max_usd,mae_inside_usd,mae_outside_usd,delta_mae,gamma_mae,pde_rms,boundary_mae_usd,boundary_missing,iv_mae_pts,iv_failed,viol_convex,viol_delta,viol_bound,viol_calendar
noisy,european,call,0.005,pinn_n1,pinn,0,0,113.52982490000068,0.776418200630313,0.9215867062713115,1.5517412068297265,0.776418200630313,,0.03329876806312444,0.310664319831323,0.008709802003579722,,,,,0.39555555555555555,0.18222222222222223,0.017777777777777778,
noisy,european,call,0.005,pinn_n0,pinn,0,0,113.96021939999991,6.687176902423259,8.208477741475367,18.384819924670325,6.687176902423259,,0.17562338008276515,1.0016434046334393,0.21715694385211629,,,,,0.4888888888888889,0.48,0.3511111111111111,
noisy,european,call,0.005,poly_ridge,ml,50,0,0.0012676999995164806,0.7210611290321955,1.0282629166902721,4.798998485946782,0.7210611290321955,,0.04166785903591556,0.4262610842824819,0.11363271093667666,,,,,0.26666666666666666,0.2088888888888889,0.4,
noisy,european,call,0.005,kernel_ridge,ml,50,0,0.09921479999866278,0.6823579117297737,0.8926997003911686,3.6589889022857203,0.6823579117297737,,0.0497498333006679,0.4890133986384404,0.026395714782585778,,,,,0.18666666666666668,0.23555555555555555,0.5377777777777778,
noisy,european,call,0.005,random_forest,ml,50,0,0.29845680000107677,1.578779309424956,2.1754559562834466,6.973709956787511,1.578779309424956,,0.19921656055425996,19.641564887770986,1.0067065601379284,,,,,0.28,0.1688888888888889,0.48444444444444446,
noisy,european,call,0.005,grad_boosting,ml,50,0,0.3396642999996402,1.647515489998947,2.1132306754970136,6.097887461944268,1.647515489998947,,0.27551671550432155,32.75425194273538,1.7006860714707437,,,,,0.25333333333333335,0.2311111111111111,0.5333333333333333,
noisy,european,call,0.005,mlp_tanh,dl,50,0,3.653200900000229,0.6131552025159569,0.8526094770222729,4.101949991410725,0.6131552025159569,,0.04498465412978167,0.4019850273741498,0.03531302039514584,,,,,0.04,0.28444444444444444,0.49777777777777776,
noisy,european,call,0.005,mlp_relu,dl,50,0,3.576785100000052,0.6071687984635837,0.9502801929816411,4.89374777836179,0.6071687984635837,,0.048282972810116384,0.7925750218285358,0.0547987641701784,,,,,0.1511111111111111,0.21333333333333335,0.4577777777777778,
noisy,european,call,0.005,resnet_silu,dl,50,0,5.6536139999989246,0.3883969404237939,0.585262058185713,3.1265199796614573,0.3883969404237939,,0.029923891021416495,0.33631864581606286,0.01703856693127847,,,,,0.09777777777777778,0.04,0.4666666666666667,
noisy,european,call,0.005,fourier_mlp,dl,50,0,3.2890501000001677,23.94796734700699,30.784455740296192,98.75570888378948,23.94796734700699,,2.8999747443069563,95.9096069801274,5.764674443549662,,,,,0.5155555555555555,0.9022222222222223,0.4266666666666667,
noisy,european,call,0.005,picnn,dl,50,0,10.859647399998721,1.6421529762639009,2.038535343424638,6.70632279080724,1.6421529762639009,,0.09033451166309678,0.7663838322345848,0.09323766264757231,,,,,0.0,0.07555555555555556,0.5688888888888889,
noisy,european,call,0.005,bs_iv_net,dl,50,0,4.281675500000347,0.05665022815296892,0.11410202496558654,0.4868192543164285,0.05665022815296892,,0.004638961131233725,0.05076854017887018,0.00415348145090823,,,,,0.0,0.0,0.0,
noisy,european,call,0.005,poly_ridge,ml,200,0,0.001364800000374089,0.413893434756553,0.5853251309367812,2.496482025429414,0.413893434756553,,0.04097053073395804,0.4368732647779925,0.03011560917094047,,,,,0.22666666666666666,0.21333333333333335,0.4088888888888889,
noisy,european,call,0.005,kernel_ridge,ml,200,0,0.1447889999999461,0.284615083227361,0.3955649166548082,1.7610195760078162,0.284615083227361,,0.028936737983752087,0.34124118263354136,0.025872339397855857,,,,,0.1688888888888889,0.14666666666666667,0.4088888888888889,
noisy,european,call,0.005,random_forest,ml,200,0,0.30328479999843694,0.7840597298039806,1.0166234489947643,3.283642745976774,0.7840597298039806,,0.12070685933597455,14.718255755155203,0.7788759926344523,,,,,0.4888888888888889,0.17333333333333334,0.38222222222222224,
noisy,european,call,0.005,grad_boosting,ml,200,0,0.322676899999351,0.7890884386933015,1.051081705685236,3.1000519988541475,0.7890884386933015,,0.13738320775121626,17.40734743945211,0.9148747080572257,,,,,0.4533333333333333,0.27111111111111114,0.44,
noisy,european,call,0.005,mlp_tanh,dl,200,0,3.872610899999927,0.5404673494082733,0.6990075487662983,2.902066023772709,0.5404673494082733,,0.048237406021164914,0.4449140012836315,0.017797727775990615,,,,,0.06666666666666667,0.3288888888888889,0.5422222222222223,
noisy,european,call,0.005,mlp_relu,dl,200,0,4.023724599999696,0.2948670636420308,0.3725120839693068,1.6881704942641185,0.2948670636420308,,0.028085668197023086,0.5499314540051574,0.03470968972210126,,,,,0.12444444444444444,0.08444444444444445,0.4711111111111111,
noisy,european,call,0.005,resnet_silu,dl,200,0,6.380293599999277,0.21247855548814318,0.2809944431954415,1.4507197455820964,0.21247855548814318,,0.017724850268217317,0.22353074283903315,0.010329344535058361,,,,,0.06666666666666667,0.07111111111111111,0.4088888888888889,
